Product_ID,Product_Name,Category_ID,Supplier_ID,Brand,Cost_Price,Selling_Price,Weight
PROD0001,Product 1,CAT001,SUP001,Brand1,21322,21822,1.5
PROD0002,Product 2,CAT002,SUP002,Brand2,9986,10486,1.5
PROD0003,Product 3,CAT003,SUP003,Brand3,25975,26475,1.5
PROD0004,Product 4,CAT004,SUP004,Brand4,42759,43259,1.5
PROD0005,Product 5,CAT005,SUP005,Brand5,3264,3764,1.5
PROD0006,Product 6,CAT006,SUP006,Brand6,4847,5347,1.5
PROD0007,Product 7,CAT007,SUP007,Brand7,35219,35719,1.5
PROD0008,Product 8,CAT008,SUP008,Brand8,6268,6768,1.5
PROD0009,Product 9,CAT009,SUP009,Brand9,24065,24565,1.5
PROD0010,Product 10,CAT010,SUP010,Brand10,38293,38793,1.5
PROD0011,Product 11,CAT011,SUP011,Brand11,3901,4401,1.5
PROD0012,Product 12,CAT012,SUP012,Brand12,33355,33855,1.5
PROD0013,Product 13,CAT013,SUP013,Brand13,14170,14670,1.5
PROD0014,Product 14,CAT014,SUP014,Brand14,2557,3057,1.5
PROD0015,Product 15,CAT015,SUP015,Brand0,5732,6232,1.5
PROD0016,Product 16,CAT016,SUP016,Brand1,28519,29019,1.5
PROD0017,Product 17,CAT017,SUP017,Brand2,27505,28005,1.5
PROD0018,Product 18,CAT018,SUP018,Brand3,4678,5178,1.5
PROD0019,Product 19,CAT019,SUP019,Brand4,15872,16372,1.5
PROD0020,Product 20,CAT020,SUP020,Brand5,6044,6544,1.5
PROD0021,Product 21,CAT001,SUP021,Brand6,36213,36713,1.5
PROD0022,Product 22,CAT002,SUP022,Brand7,27921,28421,1.5
PROD0023,Product 23,CAT003,SUP023,Brand8,3973,4473,1.5
PROD0024,Product 24,CAT004,SUP024,Brand9,37157,37657,1.5
PROD0025,Product 25,CAT005,SUP025,Brand10,8213,8713,1.5
PROD0026,Product 26,CAT006,SUP026,Brand11,14730,15230,1.5
PROD0027,Product 27,CAT007,SUP027,Brand12,41428,41928,1.5
PROD0028,Product 28,CAT008,SUP028,Brand13,41219,41719,1.5
PROD0029,Product 29,CAT009,SUP029,Brand14,38307,38807,1.5
PROD0030,Product 30,CAT010,SUP030,Brand0,4154,4654,1.5
PROD0031,Product 31,CAT011,SUP031,Brand1,37921,38421,1.5
PROD0032,Product 32,CAT012,SUP032,Brand2,38474,38974,1.5
PROD0033,Product 33,CAT013,SUP033,Brand3,26096,26596,1.5
PROD0034,Product 34,CAT014,SUP034,Brand4,3349,3849,1.5
PROD0035,Product 35,CAT015,SUP035,Brand5,14588,15088,1.5
PROD0036,Product 36,CAT016,SUP036,Brand6,3152,3652,1.5
PROD0037,Product 37,CAT017,SUP037,Brand7,36581,37081,1.5
PROD0038,Product 38,CAT018,SUP038,Brand8,8827,9327,1.5
PROD0039,Product 39,CAT019,SUP039,Brand9,19079,19579,1.5
PROD0040,Product 40,CAT020,SUP040,Brand10,27568,28068,1.5
PROD0041,Product 41,CAT001,SUP041,Brand11,9553,10053,1.5
PROD0042,Product 42,CAT002,SUP042,Brand12,35534,36034,1.5
PROD0043,Product 43,CAT003,SUP043,Brand13,7819,8319,1.5
PROD0044,Product 44,CAT004,SUP044,Brand14,37515,38015,1.5
PROD0045,Product 45,CAT005,SUP045,Brand0,20316,20816,1.5
PROD0046,Product 46,CAT006,SUP046,Brand1,36817,37317,1.5
PROD0047,Product 47,CAT007,SUP047,Brand2,44795,45295,1.5
PROD0048,Product 48,CAT008,SUP048,Brand3,11944,12444,1.5
PROD0049,Product 49,CAT009,SUP049,Brand4,6853,7353,1.5
PROD0050,Product 50,CAT010,SUP050,Brand5,38215,38715,1.5
PROD0051,Product 51,CAT011,SUP051,Brand6,37534,38034,1.5
PROD0052,Product 52,CAT012,SUP052,Brand7,41971,42471,1.5
PROD0053,Product 53,CAT013,SUP053,Brand8,12412,12912,1.5
