Store_ID,Store_Name,City,State,Country
STR001,Hyderabad Store 1,Hyderabad,State,India
STR002,Bengaluru Store 2,Bengaluru,State,India
STR003,Chennai Store 3,Chennai,State,India
STR004,Mumbai Store 4,Mumbai,State,India
STR005,Delhi Store 5,Delhi,State,India
STR006,Pune Store 6,Pune,State,India
STR007,Vijayawada Store 7,Vijayawada,State,India
STR008,Visakhapatnam Store 8,Visakhapatnam,State,India
STR009,Jaipur Store 9,Jaipur,State,India
STR010,Ahmedabad Store 10,Ahmedabad,State,India
STR011,Hyderabad Store 11,Hyderabad,State,India
STR012,Bengaluru Store 12,Bengaluru,State,India
STR013,Chennai Store 13,Chennai,State,India
STR014,Mumbai Store 14,Mumbai,State,India
STR015,Delhi Store 15,Delhi,State,India
STR016,Pune Store 16,Pune,State,India
STR017,Vijayawada Store 17,Vijayawada,State,India
STR018,Visakhapatnam Store 18,Visakhapatnam,State,India
STR019,Jaipur Store 19,Jaipur,State,India
STR020,Ahmedabad Store 20,Ahmedabad,State,India
STR021,Hyderabad Store 21,Hyderabad,State,India
STR022,Bengaluru Store 22,Bengaluru,State,India
STR023,Chennai Store 23,Chennai,State,India
STR024,Mumbai Store 24,Mumbai,State,India
STR025,Delhi Store 25,Delhi,State,India
STR026,Pune Store 26,Pune,State,India
STR027,Vijayawada Store 27,Vijayawada,State,India
STR028,Visakhapatnam Store 28,Visakhapatnam,State,India
STR029,Jaipur Store 29,Jaipur,State,India
STR030,Ahmedabad Store 30,Ahmedabad,State,India
STR031,Hyderabad Store 31,Hyderabad,State,India
STR032,Bengaluru Store 32,Bengaluru,State,India
STR033,Chennai Store 33,Chennai,State,India
STR034,Mumbai Store 34,Mumbai,State,India
STR035,Delhi Store 35,Delhi,State,India
STR036,Pune Store 36,Pune,State,India
STR037,Vijayawada Store 37,Vijayawada,State,India
STR038,Visakhapatnam Store 38,Visakhapatnam,State,India
STR039,Jaipur Store 39,Jaipur,State,India
STR040,Ahmedabad Store 40,Ahmedabad,State,India
STR041,Hyderabad Store 41,Hyderabad,State,India
STR042,Bengaluru Store 42,Bengaluru,State,India
STR043,Chennai Store 43,Chennai,State,India
STR044,Mumbai Store 44,Mumbai,State,India
STR045,Delhi Store 45,Delhi,State,India
STR046,Pune Store 46,Pune,State,India
STR047,Vijayawada Store 47,Vijayawada,State,India
STR048,Visakhapatnam Store 48,Visakhapatnam,State,India
STR049,Jaipur Store 49,Jaipur,State,India
STR050,Ahmedabad Store 50,Ahmedabad,State,India
