Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount,Line_Total
OI0000001,ORD000001,PROD0296,1,13706,15,11650.1
OI0000002,ORD000001,PROD0417,2,18387,5,34935.3
OI0000003,ORD000001,PROD0018,3,32318,10,87258.6
OI0000004,ORD000001,PROD0039,1,49060,10,44154.0
OI0000005,ORD000002,PROD0234,1,45148,10,40633.2
OI0000006,ORD000002,PROD0339,2,8914,15,15153.8
OI0000007,ORD000002,PROD0394,1,29012,20,23209.6
OI0000008,ORD000003,PROD0275,2,15940,10,28692.0
OI0000009,ORD000003,PROD0342,3,29732,15,75816.6
OI0000010,ORD000003,PROD0241,1,42993,20,34394.4
OI0000011,ORD000004,PROD0155,3,43315,0,129945.0
OI0000012,ORD000004,PROD0274,1,10009,15,8507.65
OI0000013,ORD000004,PROD0291,2,39607,5,75253.3
OI0000014,ORD000004,PROD0058,1,29137,5,27680.15
OI0000015,ORD000005,PROD0074,3,34400,5,98040.0
OI0000016,ORD000005,PROD0443,1,17699,15,15044.15
OI0000017,ORD000005,PROD0155,1,43481,5,41306.95
OI0000018,ORD000006,PROD0170,2,16100,0,32200.0
OI0000019,ORD000007,PROD0345,1,48455,20,38764.0
OI0000020,ORD000007,PROD0467,2,34285,15,58284.5
OI0000021,ORD000007,PROD0309,2,4313,5,8194.7
OI0000022,ORD000007,PROD0251,3,30441,15,77624.55
OI0000023,ORD000008,PROD0360,1,36816,15,31293.6
OI0000024,ORD000008,PROD0051,2,2514,0,5028.0
OI0000025,ORD000008,PROD0225,3,4455,0,13365.0
OI0000026,ORD000008,PROD0180,1,10162,0,10162.0
OI0000027,ORD000009,PROD0176,3,17181,15,43811.55
OI0000028,ORD000009,PROD0217,2,42767,20,68427.2
OI0000029,ORD000009,PROD0466,3,10268,5,29263.8
OI0000030,ORD000009,PROD0166,3,2356,5,6714.6
OI0000031,ORD000010,PROD0493,2,28731,5,54588.9
OI0000032,ORD000011,PROD0419,2,10858,15,18458.6
OI0000033,ORD000012,PROD0041,3,12956,15,33037.8
OI0000034,ORD000012,PROD0107,1,45051,10,40545.9
OI0000035,ORD000013,PROD0137,3,24076,0,72228.0
OI0000036,ORD000013,PROD0322,3,707,5,2014.95
OI0000037,ORD000014,PROD0409,1,3820,10,3438.0
OI0000038,ORD000014,PROD0131,2,30141,15,51239.7
OI0000039,ORD000014,PROD0389,1,41411,10,37269.9
OI0000040,ORD000014,PROD0239,3,19467,20,46720.8
OI0000041,ORD000015,PROD0248,2,31461,20,50337.6
OI0000042,ORD000015,PROD0246,1,45396,20,36316.8
OI0000043,ORD000015,PROD0369,2,47521,15,80785.7
OI0000044,ORD000016,PROD0009,3,21673,10,58517.1
OI0000045,ORD000016,PROD0038,3,26187,20,62848.8
OI0000046,ORD000016,PROD0192,2,39897,5,75804.3
OI0000047,ORD000017,PROD0487,2,12765,20,20424.0
OI0000048,ORD000018,PROD0268,3,21610,0,64830.0
OI0000049,ORD000018,PROD0337,3,38096,0,114288.0
OI0000050,ORD000019,PROD0061,3,22836,5,65082.6
OI0000051,ORD000019,PROD0016,3,35373,20,84895.2
OI0000052,ORD000020,PROD0075,2,46500,15,79050.0
OI0000053,ORD000021,PROD0422,2,36819,20,58910.4
OI0000054,ORD000021,PROD0235,2,12936,0,25872.0
OI0000055,ORD000021,PROD0222,3,10198,0,30594.0
OI0000056,ORD000021,PROD0478,1,42146,5,40038.7
OI0000057,ORD000022,PROD0160,1,3446,20,2756.8
OI0000058,ORD000022,PROD0091,1,41893,20,33514.4
OI0000059,ORD000023,PROD0177,1,32421,5,30799.95
OI0000060,ORD000024,PROD0298,3,27766,5,79133.1
OI0000061,ORD000024,PROD0263,3,45868,15,116963.4
OI0000062,ORD000025,PROD0371,2,35169,0,70338.0
OI0000063,ORD000025,PROD0177,3,40815,15,104078.25
