Order_ID,Customer_ID,Store_ID,Order_Date,Order_Status,Total_Amount
ORD000001,CUST00092,STR027,2025-05-27,Delivered,177998.0
ORD000002,CUST00769,STR003,2025-04-08,Delivered,78996.6
ORD000003,CUST00665,STR033,2025-02-04,Delivered,138903.0
ORD000004,CUST01654,STR013,2025-03-03,Delivered,241386.1
ORD000005,CUST01593,STR012,2025-04-25,Delivered,154391.1
ORD000006,CUST00537,STR029,2025-04-22,Delivered,32200.0
ORD000007,CUST00279,STR027,2025-04-10,Pending,182867.75
ORD000008,CUST01246,STR030,2025-03-31,Delivered,59848.6
ORD000009,CUST01317,STR038,2025-04-22,Shipped,148217.15
ORD000010,CUST01471,STR019,2025-05-03,Delivered,54588.9
ORD000011,CUST00290,STR024,2025-05-21,Shipped,18458.6
ORD000012,CUST01818,STR030,2025-02-19,Returned,73583.7
ORD000013,CUST00869,STR040,2025-04-19,Delivered,74242.95
ORD000014,CUST01023,STR033,2025-02-21,Delivered,138668.4
ORD000015,CUST01866,STR011,2025-06-13,Delivered,167440.1
ORD000016,CUST00494,STR011,2025-05-25,Delivered,197170.2
ORD000017,CUST01172,STR029,2025-01-14,Delivered,20424.0
ORD000018,CUST00075,STR037,2025-02-21,Delivered,179118.0
ORD000019,CUST01650,STR023,2025-06-03,Delivered,149977.8
ORD000020,CUST01249,STR029,2025-05-28,Pending,79050.0
ORD000021,CUST01168,STR028,2025-06-04,Delivered,155415.1
ORD000022,CUST00739,STR012,2025-01-13,Delivered,36271.2
ORD000023,CUST00345,STR026,2025-06-03,Shipped,30799.95
ORD000024,CUST01986,STR007,2025-01-10,Delivered,196096.5
ORD000025,CUST00026,STR043,2025-01-28,Delivered,206005.35
ORD000026,CUST01662,STR003,2025-02-28,Delivered,147378.9
ORD000027,CUST00792,STR040,2025-02-15,Shipped,112750.15
ORD000028,CUST01718,STR004,2025-06-02,Delivered,8273.0
ORD000029,CUST01279,STR027,2025-06-27,Delivered,92309.6
ORD000030,CUST00519,STR012,2025-01-14,Shipped,237178.55
ORD000031,CUST01571,STR007,2025-01-04,Delivered,58185.6
ORD000032,CUST01247,STR004,2025-06-30,Delivered,114150.9
ORD000033,CUST00614,STR030,2025-01-04,Delivered,118406.6
ORD000034,CUST00317,STR003,2025-02-06,Delivered,243727.95
ORD000035,CUST00267,STR004,2025-02-12,Delivered,211740.15
ORD000036,CUST00262,STR003,2025-03-27,Cancelled,16584.0
ORD000037,CUST01430,STR035,2025-04-22,Delivered,237162.9
ORD000038,CUST00140,STR035,2025-02-09,Processing,173129.25
ORD000039,CUST00367,STR043,2025-02-09,Processing,67518.05
ORD000040,CUST00729,STR022,2025-04-09,Delivered,97012.45
ORD000041,CUST00350,STR008,2025-03-17,Delivered,47937.45
ORD000042,CUST01955,STR001,2025-01-31,Delivered,70036.0
ORD000043,CUST01743,STR031,2025-05-27,Delivered,42120.9
ORD000044,CUST01862,STR029,2025-04-24,Returned,144577.15
ORD000045,CUST00861,STR049,2025-05-20,Delivered,72902.05
ORD000046,CUST01293,STR044,2025-01-08,Delivered,89679.25
ORD000047,CUST01592,STR050,2025-02-09,Delivered,244447.65
ORD000048,CUST00732,STR005,2025-05-22,Delivered,209150.25
ORD000049,CUST00246,STR025,2025-05-21,Shipped,87351.05
ORD000050,CUST00391,STR044,2025-05-28,Processing,129970.2
ORD000051,CUST01643,STR037,2025-02-28,Delivered,149871.9
ORD000052,CUST01238,STR033,2025-06-25,Delivered,147179.3
ORD000053,CUST00864,STR039,2025-03-22,Processing,94353.7
ORD000054,CUST00569,STR047,2025-01-24,Delivered,17022.1
ORD000055,CUST01325,STR008,2025-05-17,Delivered,120725.55
ORD000056,CUST01329,STR043,2025-01-06,Delivered,31457.1
ORD000057,CUST01822,STR034,2025-01-15,Delivered,2031.5
ORD000058,CUST01337,STR023,2025-03-21,Shipped,153864.0
ORD000059,CUST00881,STR018,2025-01-27,Cancelled,205113.45
ORD000060,CUST00124,STR037,2025-02-18,Delivered,139924.55
ORD000061,CUST01603,STR035,2025-04-04,Delivered,122933.4
ORD000062,CUST00578,STR035,2025-06-09,Delivered,267865.1
ORD000063,CUST00364,STR035,2025-03-06,Pending,163424.65
ORD000064,CUST01858,STR031,2025-01-02,Delivered,161871.0
ORD000065,CUST00309,STR032,2025-06-02,Shipped,163473.0
ORD000066,CUST01165,STR041,2025-03-21,Cancelled,192895.9
ORD000067,CUST01457,STR031,2025-01-08,Processing,127445.85
ORD000068,CUST01521,STR005,2025-03-29,Delivered,33107.2
ORD000069,CUST00317,STR034,2025-01-16,Processing,150549.5
ORD000070,CUST01553,STR004,2025-04-09,Delivered,103632.3
ORD000071,CUST01816,STR004,2025-04-03,Delivered,122884.3
ORD000072,CUST01110,STR001,2025-04-16,Processing,148169.85
ORD000073,CUST00660,STR011,2025-05-23,Delivered,170942.4
ORD000074,CUST00584,STR008,2025-01-25,Shipped,39387.6
ORD000075,CUST00038,STR039,2025-04-03,Delivered,18707.2
ORD000076,CUST00849,STR045,2025-04-08,Pending,175282.2
ORD000077,CUST01576,STR045,2025-02-06,Delivered,156196.7
ORD000078,CUST01356,STR004,2025-01-22,Delivered,38877.6
ORD000079,CUST00536,STR008,2025-04-16,Delivered,73054.95
ORD000080,CUST01965,STR005,2025-02-20,Delivered,76581.0
ORD000081,CUST00111,STR028,2025-03-18,Shipped,51393.2
ORD000082,CUST00827,STR046,2025-03-07,Delivered,157344.6
ORD000083,CUST00561,STR015,2025-02-10,Delivered,136030.5
ORD000084,CUST00869,STR020,2025-06-27,Delivered,19146.3
ORD000085,CUST01922,STR017,2025-03-22,Delivered,166710.9
ORD000086,CUST00807,STR044,2025-06-17,Processing,79988.15
ORD000087,CUST00348,STR003,2025-04-17,Delivered,159383.4
ORD000088,CUST01111,STR048,2025-05-02,Delivered,127530.0
ORD000089,CUST01315,STR005,2025-02-24,Delivered,68552.5
ORD000090,CUST00151,STR045,2025-01-26,Delivered,54784.0
ORD000091,CUST00338,STR034,2025-04-23,Delivered,115846.8
ORD000092,CUST00215,STR040,2025-05-09,Delivered,269625.6
ORD000093,CUST00379,STR016,2025-04-21,Delivered,93877.4
ORD000094,CUST01682,STR046,2025-04-21,Delivered,47034.0
ORD000095,CUST00963,STR008,2025-01-03,Pending,45785.45
ORD000096,CUST01715,STR007,2025-05-30,Cancelled,91827.8
ORD000097,CUST01631,STR016,2025-05-28,Delivered,153186.2
ORD000098,CUST00670,STR022,2025-04-20,Pending,60541.25
ORD000099,CUST01458,STR024,2025-01-11,Delivered,182005.2
ORD000100,CUST00660,STR049,2025-03-17,Delivered,86900.1
ORD000101,CUST00534,STR006,2025-04-04,Shipped,140463.2
ORD000102,CUST00736,STR032,2025-06-03,Shipped,66961.9
ORD000103,CUST01156,STR007,2025-04-14,Processing,71031.0
ORD000104,CUST01505,STR049,2025-02-22,Pending,146050.0
ORD000105,CUST01667,STR027,2025-04-20,Delivered,34028.1
ORD000106,CUST00460,STR047,2025-05-19,Delivered,7148.0
ORD000107,CUST00349,STR021,2025-04-16,Delivered,165238.4
ORD000108,CUST01606,STR040,2025-04-19,Delivered,153903.85
ORD000109,CUST01703,STR003,2025-04-26,Delivered,124886.25
ORD000110,CUST01211,STR038,2025-06-21,Delivered,203096.3
ORD000111,CUST00151,STR028,2025-03-27,Delivered,162174.45
ORD000112,CUST01115,STR004,2025-05-10,Delivered,29750.2
ORD000113,CUST01640,STR043,2025-04-18,Delivered,115515.3
ORD000114,CUST01053,STR011,2025-04-14,Cancelled,2592.5
ORD000115,CUST00754,STR031,2025-06-27,Delivered,36290.75
ORD000116,CUST00962,STR029,2025-01-11,Delivered,38147.25
ORD000117,CUST00454,STR035,2025-05-06,Delivered,99317.8
ORD000118,CUST01958,STR020,2025-04-27,Cancelled,302912.7
ORD000119,CUST00191,STR033,2025-02-22,Delivered,338157.0
ORD000120,CUST00566,STR031,2025-01-07,Delivered,17569.6
ORD000121,CUST01483,STR007,2025-01-18,Delivered,180113.65
ORD000122,CUST01418,STR032,2025-01-24,Delivered,229955.3
ORD000123,CUST01446,STR034,2025-03-03,Delivered,161860.05
ORD000124,CUST01960,STR016,2025-06-15,Delivered,232633.15
ORD000125,CUST00477,STR031,2025-03-04,Delivered,193950.8
ORD000126,CUST01319,STR018,2025-02-11,Delivered,38052.0
ORD000127,CUST00635,STR017,2025-03-24,Delivered,241176.75
ORD000128,CUST01102,STR032,2025-03-20,Delivered,191327.9
ORD000129,CUST00828,STR031,2025-02-08,Delivered,96309.9
ORD000130,CUST01529,STR038,2025-02-13,Processing,202350.35
ORD000131,CUST00357,STR041,2025-06-15,Delivered,145034.0
ORD000132,CUST00699,STR011,2025-02-02,Delivered,33636.8
ORD000133,CUST01806,STR047,2025-01-12,Delivered,227769.0
ORD000134,CUST00582,STR032,2025-04-06,Delivered,322998.6
ORD000135,CUST00417,STR021,2025-04-09,Delivered,313386.8
ORD000136,CUST01099,STR002,2025-04-12,Pending,173157.8
ORD000137,CUST01807,STR017,2025-05-13,Delivered,97514.4
ORD000138,CUST00552,STR045,2025-01-04,Delivered,19645.1
ORD000139,CUST01971,STR009,2025-05-16,Delivered,237688.4
ORD000140,CUST01303,STR045,2025-02-01,Cancelled,98526.55
ORD000141,CUST00500,STR008,2025-05-14,Delivered,13551.2
ORD000142,CUST00802,STR030,2025-03-02,Shipped,215182.8
ORD000143,CUST01964,STR013,2025-04-29,Delivered,202137.1
ORD000144,CUST01097,STR028,2025-02-07,Shipped,195427.35
ORD000145,CUST01411,STR049,2025-05-08,Delivered,230770.9
ORD000146,CUST00163,STR016,2025-06-09,Delivered,104172.7
ORD000147,CUST00611,STR040,2025-03-01,Pending,146457.65
ORD000148,CUST00544,STR015,2025-05-09,Delivered,59986.3
ORD000149,CUST01276,STR048,2025-06-07,Delivered,45374.4
ORD000150,CUST00163,STR014,2025-03-16,Delivered,26407.8
ORD000151,CUST00118,STR009,2025-01-03,Delivered,149091.9
ORD000152,CUST01414,STR025,2025-04-07,Delivered,185691.0
ORD000153,CUST01232,STR024,2025-02-05,Processing,157976.4
ORD000154,CUST01784,STR025,2025-04-17,Delivered,156505.1
ORD000155,CUST01715,STR011,2025-04-05,Delivered,37081.8
ORD000156,CUST01431,STR017,2025-06-12,Delivered,223749.45
ORD000157,CUST01675,STR012,2025-03-14,Delivered,31345.25
ORD000158,CUST01175,STR002,2025-01-21,Delivered,167744.6
ORD000159,CUST01420,STR039,2025-06-14,Delivered,162980.9
