Shipment_ID,Order_ID,Courier,Shipment_Date,Delivery_Date,Delivery_Status
SHP000001,ORD000001,DTDC,2025-05-28,2025-06-03,Delivered
SHP000002,ORD000002,Delhivery,2025-04-09,2025-04-11,Delivered
SHP000003,ORD000003,Ekart,2025-02-05,2025-02-08,Delivered
SHP000004,ORD000004,Ekart,2025-03-04,2025-03-09,Delivered
SHP000005,ORD000005,DTDC,2025-04-26,2025-04-30,Delivered
SHP000006,ORD000006,Delhivery,2025-04-23,2025-04-29,Delivered
SHP000007,ORD000007,Amazon Logistics,2025-04-11,,Pending
SHP000008,ORD000008,Ekart,2025-04-01,2025-04-04,Delivered
SHP000009,ORD000009,XpressBees,2025-04-23,,Shipped
SHP000010,ORD000010,Amazon Logistics,2025-05-04,2025-05-06,Delivered
SHP000011,ORD000011,Ekart,2025-05-22,,Shipped
SHP000012,ORD000012,XpressBees,2025-02-20,2025-02-26,Returned
SHP000013,ORD000013,XpressBees,2025-04-20,2025-04-25,Delivered
SHP000014,ORD000014,Ekart,2025-02-22,2025-02-27,Delivered
SHP000015,ORD000015,XpressBees,2025-06-14,2025-06-19,Delivered
SHP000016,ORD000016,Amazon Logistics,2025-05-26,2025-05-28,Delivered
SHP000017,ORD000017,Ekart,2025-01-15,2025-01-17,Delivered
SHP000018,ORD000018,DTDC,2025-02-22,2025-02-27,Delivered
SHP000019,ORD000019,Ekart,2025-06-04,2025-06-09,Delivered
SHP000020,ORD000020,Ekart,2025-05-29,,Pending
SHP000021,ORD000021,Ekart,2025-06-05,2025-06-11,Delivered
SHP000022,ORD000022,Ekart,2025-01-14,2025-01-16,Delivered
SHP000023,ORD000023,DTDC,2025-06-04,,Shipped
SHP000024,ORD000024,Delhivery,2025-01-11,2025-01-13,Delivered
SHP000025,ORD000025,XpressBees,2025-01-29,2025-02-03,Delivered
SHP000026,ORD000026,DTDC,2025-03-01,2025-03-06,Delivered
SHP000027,ORD000027,Amazon Logistics,2025-02-16,,Shipped
SHP000028,ORD000028,BlueDart,2025-06-03,2025-06-06,Delivered
SHP000029,ORD000029,Delhivery,2025-06-28,2025-07-04,Delivered
SHP000030,ORD000030,Ekart,2025-01-15,,Shipped
SHP000031,ORD000031,DTDC,2025-01-05,2025-01-07,Delivered
SHP000032,ORD000032,Amazon Logistics,2025-07-01,2025-07-04,Delivered
SHP000033,ORD000033,XpressBees,2025-01-05,2025-01-08,Delivered
SHP000034,ORD000034,Ekart,2025-02-07,2025-02-13,Delivered
SHP000035,ORD000035,XpressBees,2025-02-13,2025-02-15,Delivered
SHP000036,ORD000036,DTDC,2025-03-28,,Cancelled
SHP000037,ORD000037,XpressBees,2025-04-23,2025-04-26,Delivered
SHP000038,ORD000038,XpressBees,2025-02-10,,Processing
SHP000039,ORD000039,DTDC,2025-02-10,,Processing
SHP000040,ORD000040,XpressBees,2025-04-10,2025-04-14,Delivered
SHP000041,ORD000041,BlueDart,2025-03-18,2025-03-23,Delivered
SHP000042,ORD000042,DTDC,2025-02-01,2025-02-07,Delivered
SHP000043,ORD000043,BlueDart,2025-05-28,2025-06-02,Delivered
SHP000044,ORD000044,Amazon Logistics,2025-04-25,2025-04-27,Returned
SHP000045,ORD000045,Delhivery,2025-05-21,2025-05-24,Delivered
SHP000046,ORD000046,BlueDart,2025-01-09,2025-01-13,Delivered
SHP000047,ORD000047,DTDC,2025-02-10,2025-02-14,Delivered
SHP000048,ORD000048,Delhivery,2025-05-23,2025-05-29,Delivered
SHP000049,ORD000049,Delhivery,2025-05-22,,Shipped
SHP000050,ORD000050,XpressBees,2025-05-29,,Processing
SHP000051,ORD000051,XpressBees,2025-03-01,2025-03-03,Delivered
SHP000052,ORD000052,DTDC,2025-06-26,2025-07-02,Delivered
SHP000053,ORD000053,XpressBees,2025-03-23,,Processing
SHP000054,ORD000054,DTDC,2025-01-25,2025-01-29,Delivered
SHP000055,ORD000055,Amazon Logistics,2025-05-18,2025-05-24,Delivered
SHP000056,ORD000056,XpressBees,2025-01-07,2025-01-10,Delivered
SHP000057,ORD000057,Amazon Logistics,2025-01-16,2025-01-22,Delivered
SHP000058,ORD000058,Amazon Logistics,2025-03-22,,Shipped
SHP000059,ORD000059,DTDC,2025-01-28,,Cancelled
SHP000060,ORD000060,Ekart,2025-02-19,2025-02-23,Delivered
SHP000061,ORD000061,Amazon Logistics,2025-04-05,2025-04-08,Delivered
SHP000062,ORD000062,DTDC,2025-06-10,2025-06-12,Delivered
SHP000063,ORD000063,Delhivery,2025-03-07,,Pending
SHP000064,ORD000064,BlueDart,2025-01-03,2025-01-08,Delivered
SHP000065,ORD000065,XpressBees,2025-06-03,,Shipped
SHP000066,ORD000066,BlueDart,2025-03-22,,Cancelled
SHP000067,ORD000067,Delhivery,2025-01-09,,Processing
SHP000068,ORD000068,XpressBees,2025-03-30,2025-04-04,Delivered
SHP000069,ORD000069,Ekart,2025-01-17,,Processing
SHP000070,ORD000070,BlueDart,2025-04-10,2025-04-14,Delivered
SHP000071,ORD000071,BlueDart,2025-04-04,2025-04-08,Delivered
SHP000072,ORD000072,Delhivery,2025-04-17,,Processing
SHP000073,ORD000073,Ekart,2025-05-24,2025-05-28,Delivered
SHP000074,ORD000074,XpressBees,2025-01-26,,Shipped
SHP000075,ORD000075,XpressBees,2025-04-04,2025-04-10,Delivered
SHP000076,ORD000076,Ekart,2025-04-09,,Pending
SHP000077,ORD000077,BlueDart,2025-02-07,2025-02-10,Delivered
SHP000078,ORD000078,BlueDart,2025-01-23,2025-01-25,Delivered
SHP000079,ORD000079,BlueDart,2025-04-17,2025-04-23,Delivered
SHP000080,ORD000080,BlueDart,2025-02-21,2025-02-27,Delivered
SHP000081,ORD000081,Ekart,2025-03-19,,Shipped
SHP000082,ORD000082,BlueDart,2025-03-08,2025-03-12,Delivered
SHP000083,ORD000083,BlueDart,2025-02-11,2025-02-13,Delivered
SHP000084,ORD000084,Ekart,2025-06-28,2025-07-01,Delivered
SHP000085,ORD000085,DTDC,2025-03-23,2025-03-29,Delivered
SHP000086,ORD000086,DTDC,2025-06-18,,Processing
SHP000087,ORD000087,BlueDart,2025-04-18,2025-04-21,Delivered
SHP000088,ORD000088,Amazon Logistics,2025-05-03,2025-05-06,Delivered
SHP000089,ORD000089,Ekart,2025-02-25,2025-02-28,Delivered
SHP000090,ORD000090,Ekart,2025-01-27,2025-01-29,Delivered
SHP000091,ORD000091,Delhivery,2025-04-24,2025-04-28,Delivered
SHP000092,ORD000092,DTDC,2025-05-10,2025-05-15,Delivered
SHP000093,ORD000093,DTDC,2025-04-22,2025-04-26,Delivered
SHP000094,ORD000094,XpressBees,2025-04-22,2025-04-25,Delivered
SHP000095,ORD000095,BlueDart,2025-01-04,,Pending
SHP000096,ORD000096,Amazon Logistics,2025-05-31,,Cancelled
SHP000097,ORD000097,Ekart,2025-05-29,2025-05-31,Delivered
SHP000098,ORD000098,Amazon Logistics,2025-04-21,,Pending
SHP000099,ORD000099,Amazon Logistics,2025-01-12,2025-01-14,Delivered
SHP000100,ORD000100,BlueDart,2025-03-18,2025-03-22,Delivered
SHP000101,ORD000101,Amazon Logistics,2025-04-05,,Shipped
SHP000102,ORD000102,DTDC,2025-06-04,,Shipped
SHP000103,ORD000103,XpressBees,2025-04-15,,Processing
SHP000104,ORD000104,XpressBees,2025-02-23,,Pending
SHP000105,ORD000105,XpressBees,2025-04-21,2025-04-26,Delivered
SHP000106,ORD000106,BlueDart,2025-05-20,2025-05-22,Delivered
SHP000107,ORD000107,Ekart,2025-04-17,2025-04-22,Delivered
SHP000108,ORD000108,BlueDart,2025-04-20,2025-04-25,Delivered
SHP000109,ORD000109,Amazon Logistics,2025-04-27,2025-04-29,Delivered
SHP000110,ORD000110,Amazon Logistics,2025-06-22,2025-06-27,Delivered
SHP000111,ORD000111,Ekart,2025-03-28,2025-04-02,Delivered
SHP000112,ORD000112,Delhivery,2025-05-11,2025-05-14,Delivered
SHP000113,ORD000113,BlueDart,2025-04-19,2025-04-21,Delivered
SHP000114,ORD000114,Delhivery,2025-04-15,,Cancelled
SHP000115,ORD000115,Ekart,2025-06-28,2025-07-03,Delivered
SHP000116,ORD000116,DTDC,2025-01-12,2025-01-16,Delivered
SHP000117,ORD000117,Amazon Logistics,2025-05-07,2025-05-13,Delivered
SHP000118,ORD000118,Ekart,2025-04-28,,Cancelled
SHP000119,ORD000119,Ekart,2025-02-23,2025-02-28,Delivered
SHP000120,ORD000120,Amazon Logistics,2025-01-08,2025-01-14,Delivered
SHP000121,ORD000121,DTDC,2025-01-19,2025-01-23,Delivered
SHP000122,ORD000122,XpressBees,2025-01-25,2025-01-30,Delivered
SHP000123,ORD000123,BlueDart,2025-03-04,2025-03-09,Delivered
SHP000124,ORD000124,XpressBees,2025-06-16,2025-06-19,Delivered
SHP000125,ORD000125,Delhivery,2025-03-05,2025-03-09,Delivered
SHP000126,ORD000126,BlueDart,2025-02-12,2025-02-14,Delivered
SHP000127,ORD000127,DTDC,2025-03-25,2025-03-27,Delivered
SHP000128,ORD000128,Delhivery,2025-03-21,2025-03-24,Delivered
SHP000129,ORD000129,XpressBees,2025-02-09,2025-02-12,Delivered
SHP000130,ORD000130,DTDC,2025-02-14,,Processing
SHP000131,ORD000131,DTDC,2025-06-16,2025-06-20,Delivered
SHP000132,ORD000132,DTDC,2025-02-03,2025-02-07,Delivered
SHP000133,ORD000133,XpressBees,2025-01-13,2025-01-16,Delivered
SHP000134,ORD000134,BlueDart,2025-04-07,2025-04-11,Delivered
SHP000135,ORD000135,DTDC,2025-04-10,2025-04-16,Delivered
SHP000136,ORD000136,Delhivery,2025-04-13,,Pending
SHP000137,ORD000137,Delhivery,2025-05-14,2025-05-20,Delivered
SHP000138,ORD000138,DTDC,2025-01-05,2025-01-11,Delivered
SHP000139,ORD000139,Amazon Logistics,2025-05-17,2025-05-22,Delivered
SHP000140,ORD000140,Ekart,2025-02-02,,Cancelled
SHP000141,ORD000141,XpressBees,2025-05-15,2025-05-18,Delivered
SHP000142,ORD000142,DTDC,2025-03-03,,Shipped
SHP000143,ORD000143,Ekart,2025-04-30,2025-05-02,Delivered
SHP000144,ORD000144,Delhivery,2025-02-08,,Shipped
SHP000145,ORD000145,Ekart,2025-05-09,2025-05-12,Delivered
SHP000146,ORD000146,Ekart,2025-06-10,2025-06-15,Delivered
SHP000147,ORD000147,DTDC,2025-03-02,,Pending
SHP000148,ORD000148,Ekart,2025-05-10,2025-05-15,Delivered
SHP000149,ORD000149,Ekart,2025-06-08,2025-06-13,Delivered
SHP000150,ORD000150,XpressBees,2025-03-17,2025-03-21,Delivered
SHP000151,ORD000151,XpressBees,2025-01-04,2025-01-06,Delivered
SHP000152,ORD000152,Delhivery,2025-04-08,2025-04-13,Delivered
SHP000153,ORD000153,BlueDart,2025-02-06,,Processing
SHP000154,ORD000154,BlueDart,2025-04-18,2025-04-24,Delivered
SHP000155,ORD000155,XpressBees,2025-04-06,2025-04-08,Delivered
SHP000156,ORD000156,XpressBees,2025-06-13,2025-06-16,Delivered
SHP000157,ORD000157,Delhivery,2025-03-15,2025-03-18,Delivered
SHP000158,ORD000158,Ekart,2025-01-22,2025-01-28,Delivered
SHP000159,ORD000159,DTDC,2025-06-15,2025-06-18,Delivered
SHP000160,ORD000160,BlueDart,2025-06-19,,Shipped
SHP000161,ORD000161,BlueDart,2025-04-23,2025-04-26,Delivered
SHP000162,ORD000162,Amazon Logistics,2025-06-09,,Cancelled
SHP000163,ORD000163,BlueDart,2025-03-08,,Processing
SHP000164,ORD000164,Amazon Logistics,2025-03-23,,Cancelled
SHP000165,ORD000165,Ekart,2025-01-03,2025-01-07,Delivered
SHP000166,ORD000166,DTDC,2025-06-27,2025-06-30,Delivered
