Inventory_ID,Store_ID,Product_ID,Stock,Reorder_Level,Last_Updated
INV000001,STR001,PROD0001,84,73,2025-06-30
INV000002,STR001,PROD0002,353,73,2025-06-30
INV000003,STR001,PROD0003,325,56,2025-06-30
INV000004,STR001,PROD0004,245,47,2025-06-30
INV000005,STR001,PROD0005,405,80,2025-06-30
INV000006,STR001,PROD0006,413,85,2025-06-30
INV000007,STR001,PROD0007,93,84,2025-06-30
INV000008,STR001,PROD0008,270,50,2025-06-30
INV000009,STR001,PROD0009,403,20,2025-06-30
INV000010,STR001,PROD0010,7,67,2025-06-30
INV000011,STR001,PROD0011,477,94,2025-06-30
INV000012,STR001,PROD0012,219,28,2025-06-30
INV000013,STR001,PROD0013,74,49,2025-06-30
INV000014,STR001,PROD0014,471,49,2025-06-30
INV000015,STR001,PROD0015,355,25,2025-06-30
INV000016,STR001,PROD0016,223,72,2025-06-30
INV000017,STR001,PROD0017,315,76,2025-06-30
INV000018,STR001,PROD0018,17,62,2025-06-30
INV000019,STR001,PROD0019,276,83,2025-06-30
INV000020,STR001,PROD0020,355,34,2025-06-30
INV000021,STR001,PROD0021,332,67,2025-06-30
INV000022,STR001,PROD0022,11,39,2025-06-30
INV000023,STR001,PROD0023,379,31,2025-06-30
INV000024,STR001,PROD0024,63,22,2025-06-30
INV000025,STR001,PROD0025,232,40,2025-06-30
INV000026,STR001,PROD0026,282,63,2025-06-30
INV000027,STR001,PROD0027,205,82,2025-06-30
INV000028,STR001,PROD0028,77,43,2025-06-30
INV000029,STR001,PROD0029,340,24,2025-06-30
INV000030,STR001,PROD0030,240,50,2025-06-30
INV000031,STR001,PROD0031,38,45,2025-06-30
INV000032,STR001,PROD0032,106,94,2025-06-30
INV000033,STR001,PROD0033,373,29,2025-06-30
INV000034,STR001,PROD0034,62,91,2025-06-30
INV000035,STR001,PROD0035,243,91,2025-06-30
INV000036,STR001,PROD0036,423,69,2025-06-30
INV000037,STR001,PROD0037,102,63,2025-06-30
INV000038,STR001,PROD0038,472,38,2025-06-30
INV000039,STR001,PROD0039,454,88,2025-06-30
INV000040,STR001,PROD0040,209,57,2025-06-30
INV000041,STR001,PROD0041,186,77,2025-06-30
INV000042,STR001,PROD0042,256,69,2025-06-30
INV000043,STR001,PROD0043,162,82,2025-06-30
INV000044,STR001,PROD0044,197,54,2025-06-30
INV000045,STR001,PROD0045,13,31,2025-06-30
INV000046,STR001,PROD0046,81,83,2025-06-30
INV000047,STR001,PROD0047,1,82,2025-06-30
INV000048,STR001,PROD0048,35,90,2025-06-30
INV000049,STR001,PROD0049,306,86,2025-06-30
INV000050,STR001,PROD0050,113,93,2025-06-30
INV000051,STR002,PROD0001,311,60,2025-06-30
INV000052,STR002,PROD0002,284,99,2025-06-30
INV000053,STR002,PROD0003,57,43,2025-06-30
INV000054,STR002,PROD0004,342,41,2025-06-30
INV000055,STR002,PROD0005,320,64,2025-06-30
INV000056,STR002,PROD0006,426,62,2025-06-30
INV000057,STR002,PROD0007,177,96,2025-06-30
INV000058,STR002,PROD0008,476,59,2025-06-30
INV000059,STR002,PROD0009,125,33,2025-06-30
INV000060,STR002,PROD0010,86,28,2025-06-30
INV000061,STR002,PROD0011,472,42,2025-06-30
INV000062,STR002,PROD0012,397,74,2025-06-30
INV000063,STR002,PROD0013,191,40,2025-06-30
INV000064,STR002,PROD0014,349,24,2025-06-30
INV000065,STR002,PROD0015,346,86,2025-06-30
INV000066,STR002,PROD0016,460,50,2025-06-30
INV000067,STR002,PROD0017,208,40,2025-06-30
INV000068,STR002,PROD0018,492,95,2025-06-30
INV000069,STR002,PROD0019,7,64,2025-06-30
INV000070,STR002,PROD0020,251,84,2025-06-30
INV000071,STR002,PROD0021,192,51,2025-06-30
INV000072,STR002,PROD0022,479,51,2025-06-30
INV000073,STR002,PROD0023,83,91,2025-06-30
INV000074,STR002,PROD0024,35,76,2025-06-30
INV000075,STR002,PROD0025,412,72,2025-06-30
INV000076,STR002,PROD0026,396,81,2025-06-30
INV000077,STR002,PROD0027,29,56,2025-06-30
INV000078,STR002,PROD0028,26,53,2025-06-30
INV000079,STR002,PROD0029,337,57,2025-06-30
INV000080,STR002,PROD0030,17,73,2025-06-30
INV000081,STR002,PROD0031,127,41,2025-06-30
INV000082,STR002,PROD0032,201,28,2025-06-30
INV000083,STR002,PROD0033,445,63,2025-06-30
INV000084,STR002,PROD0034,330,38,2025-06-30
INV000085,STR002,PROD0035,77,81,2025-06-30
INV000086,STR002,PROD0036,25,52,2025-06-30
INV000087,STR002,PROD0037,71,87,2025-06-30
INV000088,STR002,PROD0038,466,81,2025-06-30
INV000089,STR002,PROD0039,14,47,2025-06-30
INV000090,STR002,PROD0040,460,66,2025-06-30
INV000091,STR002,PROD0041,407,39,2025-06-30
INV000092,STR002,PROD0042,451,67,2025-06-30
INV000093,STR002,PROD0043,307,74,2025-06-30
INV000094,STR002,PROD0044,248,94,2025-06-30
INV000095,STR002,PROD0045,462,81,2025-06-30
INV000096,STR002,PROD0046,157,37,2025-06-30
INV000097,STR002,PROD0047,273,95,2025-06-30
INV000098,STR002,PROD0048,141,37,2025-06-30
INV000099,STR002,PROD0049,393,21,2025-06-30
INV000100,STR002,PROD0050,195,36,2025-06-30
INV000101,STR003,PROD0001,488,23,2025-06-30
INV000102,STR003,PROD0002,135,95,2025-06-30
INV000103,STR003,PROD0003,166,51,2025-06-30
INV000104,STR003,PROD0004,436,94,2025-06-30
INV000105,STR003,PROD0005,215,52,2025-06-30
INV000106,STR003,PROD0006,349,71,2025-06-30
INV000107,STR003,PROD0007,384,37,2025-06-30
INV000108,STR003,PROD0008,68,38,2025-06-30
INV000109,STR003,PROD0009,48,70,2025-06-30
INV000110,STR003,PROD0010,48,43,2025-06-30
INV000111,STR003,PROD0011,12,77,2025-06-30
INV000112,STR003,PROD0012,402,38,2025-06-30
INV000113,STR003,PROD0013,36,35,2025-06-30
INV000114,STR003,PROD0014,335,56,2025-06-30
INV000115,STR003,PROD0015,64,58,2025-06-30
INV000116,STR003,PROD0016,275,61,2025-06-30
INV000117,STR003,PROD0017,202,83,2025-06-30
INV000118,STR003,PROD0018,454,48,2025-06-30
INV000119,STR003,PROD0019,318,41,2025-06-30
INV000120,STR003,PROD0020,92,43,2025-06-30
INV000121,STR003,PROD0021,439,68,2025-06-30
INV000122,STR003,PROD0022,103,90,2025-06-30
INV000123,STR003,PROD0023,387,25,2025-06-30
INV000124,STR003,PROD0024,309,84,2025-06-30
INV000125,STR003,PROD0025,447,27,2025-06-30
INV000126,STR003,PROD0026,404,21,2025-06-30
INV000127,STR003,PROD0027,198,79,2025-06-30
INV000128,STR003,PROD0028,442,28,2025-06-30
INV000129,STR003,PROD0029,203,92,2025-06-30
INV000130,STR003,PROD0030,89,49,2025-06-30
INV000131,STR003,PROD0031,129,97,2025-06-30
INV000132,STR003,PROD0032,160,25,2025-06-30
INV000133,STR003,PROD0033,125,69,2025-06-30
INV000134,STR003,PROD0034,79,59,2025-06-30
INV000135,STR003,PROD0035,371,57,2025-06-30
INV000136,STR003,PROD0036,418,84,2025-06-30
INV000137,STR003,PROD0037,411,90,2025-06-30
INV000138,STR003,PROD0038,250,93,2025-06-30
INV000139,STR003,PROD0039,50,89,2025-06-30
