Review_ID,Customer_ID,Product_ID,Rating,Review_Text,Review_Date
REV000001,CUST00011,PROD0323,1,Battery backup is amazing,2025-12-05
REV000002,CUST00660,PROD0444,1,Excellent quality,2025-08-22
REV000003,CUST01232,PROD0415,4,Battery backup is amazing,2025-07-04
REV000004,CUST00767,PROD0123,3,Battery backup is amazing,2025-01-17
REV000005,CUST01745,PROD0152,5,Poor quality,2025-08-08
REV000006,CUST00752,PROD0483,5,Battery backup is amazing,2025-11-08
REV000007,CUST00569,PROD0107,3,Excellent quality,2025-04-15
REV000008,CUST00284,PROD0061,5,Packaging could be better,2025-01-25
REV000009,CUST01983,PROD0445,1,Average product,2025-05-02
REV000010,CUST00395,PROD0487,2,Battery backup is amazing,2025-01-04
REV000011,CUST00732,PROD0315,1,Poor quality,2025-03-23
REV000012,CUST01716,PROD0371,4,Average product,2025-04-24
REV000013,CUST00078,PROD0058,1,Worth buying,2025-10-28
REV000014,CUST01385,PROD0125,2,Received damaged product,2025-05-20
REV000015,CUST01983,PROD0377,4,Worth buying,2025-02-03
REV000016,CUST01945,PROD0175,5,Value for money,2025-09-18
REV000017,CUST00782,PROD0190,1,Battery backup is amazing,2025-06-05
REV000018,CUST00734,PROD0271,5,Highly recommended,2025-01-01
REV000019,CUST01513,PROD0364,3,Highly recommended,2025-02-02
REV000020,CUST00713,PROD0146,4,Received damaged product,2025-03-17
REV000021,CUST01528,PROD0310,5,Worth buying,2025-07-09
REV000022,CUST00750,PROD0024,4,Average product,2025-06-03
REV000023,CUST01469,PROD0322,3,Packaging could be better,2025-08-26
REV000024,CUST01046,PROD0483,4,Value for money,2025-02-09
REV000025,CUST01642,PROD0390,3,Highly recommended,2025-08-26
REV000026,CUST00555,PROD0439,3,Looks premium,2025-05-28
REV000027,CUST01708,PROD0028,3,Value for money,2025-05-17
REV000028,CUST01465,PROD0283,3,Average product,2025-07-25
REV000029,CUST00794,PROD0438,3,Poor quality,2025-07-02
REV000030,CUST00331,PROD0205,1,Highly recommended,2025-01-04
REV000031,CUST00622,PROD0138,1,Highly recommended,2025-01-28
REV000032,CUST01050,PROD0248,3,Worth buying,2025-03-25
REV000033,CUST00900,PROD0257,2,Battery backup is amazing,2025-03-09
REV000034,CUST01739,PROD0291,4,Battery backup is amazing,2025-11-12
REV000035,CUST00567,PROD0204,4,Fast delivery,2025-05-23
REV000036,CUST00282,PROD0206,4,Received damaged product,2025-05-26
REV000037,CUST00464,PROD0210,1,Excellent quality,2025-11-02
REV000038,CUST01418,PROD0384,5,Highly recommended,2025-11-09
REV000039,CUST01493,PROD0157,2,Fast delivery,2025-01-09
REV000040,CUST01988,PROD0391,5,Looks premium,2025-02-08
REV000041,CUST01466,PROD0029,4,Highly recommended,2025-12-15
REV000042,CUST00943,PROD0052,4,Packaging could be better,2025-01-17
REV000043,CUST01610,PROD0418,2,Average product,2025-04-11
